        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +8.456440127437e+14,        +7.527895136147e+14
 2.00e+00,        +7.527895136147e+14,        +9.568769630112e+14
