        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +4.230019025669e+14,        +3.958952999674e+14
 2.00e+00,        +3.958952999674e+14,        +4.228918658330e+14
