        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +5.861695356751e+14,        +5.242725887797e+14
 2.00e+00,        +5.242725887797e+14,        +5.857919989173e+14
