        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.278793033757e+14,        +2.198538791907e+14
 2.00e+00,        +2.198538791907e+14,        +2.278544421502e+14
