        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.913278213518e+14,        +2.782479622327e+14
 2.00e+00,        +2.782479622327e+14,        +2.912665166229e+14
