        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.234711555018e+14,        +2.172224478542e+14
 2.00e+00,        +2.172224478542e+14,        +2.414346772576e+14
