        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.808491670885e+14,        +2.693414097403e+14
 2.00e+00,        +2.693414097403e+14,        +2.808092888108e+14
