        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.757978088582e+14,        +2.631102200581e+14
 2.00e+00,        +2.631102200581e+14,        +2.757645421659e+14
