        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.428785825593e+14,        +3.309888665617e+14
 2.00e+00,        +3.309888665617e+14,        +3.717285785681e+14
