        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.756040062970e+14,        +2.630246294316e+14
 2.00e+00,        +2.630246294316e+14,        +2.755718476599e+14
