        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.752020126141e+14,        +2.628404266256e+14
 2.00e+00,        +2.628404266256e+14,        +2.751743845683e+14
