        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.235803286557e+14,        +2.172829287254e+14
 2.00e+00,        +2.172829287254e+14,        +2.416803320394e+14
