        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +8.461756062397e+14,        +7.529354881402e+14
 2.00e+00,        +7.529354881402e+14,        +9.577988003459e+14
