        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +1.474452360707e+14,        +1.440124088484e+14
 2.00e+00,        +1.440124088484e+14,        +1.494802422013e+14
