        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.898496905907e+14,        +3.691842776275e+14
 2.00e+00,        +3.691842776275e+14,        +3.897501065021e+14
