        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +1.838423674612e+14,        +1.786062716606e+14
 2.00e+00,        +1.786062716606e+14,        +1.857177967267e+14
