        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.339192494101e+14,        +3.217178054729e+14
 2.00e+00,        +3.217178054729e+14,        +3.468288420536e+14
