        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.207500412218e+14,        +2.119642570405e+14
 2.00e+00,        +2.119642570405e+14,        +2.206729461774e+14
