        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +1.098288414643e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.098672116386e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
