        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +4.686729851121e+14,        +4.375112072816e+14
 2.00e+00,        +4.375112072816e+14,        +4.684912664323e+14
