        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.371253685049e+14,        +3.196938765871e+14
 2.00e+00,        +3.196938765871e+14,        +3.370525688860e+14
