        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.812091925773e+14,        +2.695067291702e+14
 2.00e+00,        +2.695067291702e+14,        +2.811672008419e+14
