        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.419470631329e+14,        +2.329372936499e+14
 2.00e+00,        +2.329372936499e+14,        +2.418650884130e+14
