        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.053962633582e+14,        +2.896741588552e+14
 2.00e+00,        +2.896741588552e+14,        +3.053220339833e+14
