        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.104415804945e+14,        +2.052722596812e+14
 2.00e+00,        +2.052722596812e+14,        +2.128354657108e+14
