        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +1.511302235570e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.494303733620e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
