        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.044128281799e+14,        +2.906248074316e+14
 2.00e+00,        +2.906248074316e+14,        +3.043488631748e+14
