        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.108798573611e+14,        +2.947901889710e+14
 2.00e+00,        +2.947901889710e+14,        +3.106796941179e+14
