        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.176064681735e+14,        +3.031708748576e+14
 2.00e+00,        +3.031708748576e+14,        +3.175786302769e+14
