        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.776203020137e+14,        +2.684252324636e+14
 2.00e+00,        +2.684252324636e+14,        +2.777173258610e+14
