        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +4.690405797213e+14,        +4.376250335993e+14
 2.00e+00,        +4.376250335993e+14,        +4.688560009108e+14
