        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.102990844840e+14,        +2.944863335693e+14
 2.00e+00,        +2.944863335693e+14,        +3.101060124279e+14
