        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +6.000033381044e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +6.002110962578e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
