        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.230807333172e+14,        +3.069295326426e+14
 2.00e+00,        +3.069295326426e+14,        +3.229689015684e+14
