        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +8.447122101089e+14,        +7.532959712766e+14
 2.00e+00,        +7.532959712766e+14,        +9.542989598976e+14
