        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +4.462231125158e+14,        +4.261497975088e+14
 2.00e+00,        +4.261497975088e+14,        +4.465672102763e+14
