        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +1.977412372390e+14,        +1.927329297921e+14
 2.00e+00,        +1.927329297921e+14,        +2.000540270015e+14
