        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.211253222051e+14,        +2.121853482926e+14
 2.00e+00,        +2.121853482926e+14,        +2.210459923275e+14
