        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.095273666803e+14,        +2.022668473146e+14
 2.00e+00,        +2.022668473146e+14,        +2.095028838016e+14
