        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.464860450173e+14,        +3.327702889670e+14
 2.00e+00,        +3.327702889670e+14,        +3.470455266939e+14
