        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +4.160816329320e+14,        +3.969400204078e+14
 2.00e+00,        +3.969400204078e+14,        +4.168166440874e+14
