        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +4.947813289421e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +4.939088354815e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
