        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +9.941788169228e+13,        +9.721375270516e+13
 2.00e+00,        +9.721375270516e+13,        +1.070189657591e+14
