        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.192527911465e+14,        +3.043778016526e+14
 2.00e+00,        +3.043778016526e+14,        +3.192134410634e+14
