cell,N_metal,l_um,w_um,rows,stackup,C_fF
fd_l5p5_w7_dbl,4,5.5,7,7,sub_fixvia,34.7769
fd_l5p5_w2_dbl,4,5.5,2,2,sub_fixvia,10.0556
n2_l5p5_w7,2,5.5,7,7,sub_fixvia,17.8905
fd_l5p5_w5_dbl,4,5.5,5,5,sub_fixvia,24.9619
n2_l10_w7,2,10.0,7,7,sub_fixvia,32.0157
pcell_l5p5_w7_n3,3,5.5,7,7,sub_fixvia,26.7118
pcell_l10_w7_n3,3,10.0,7,7,sub_fixvia,48.0457
g2n5_l5p5_w7,5,5.5,7,7,sub_fixvia,43.5916
fd_l5p5_w15_dbl,4,5.5,15,16,sub_fixvia,78.9571
