        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.230198256884e+14,        +3.066538261021e+14
 2.00e+00,        +3.066538261021e+14,        +3.229393039014e+14
