        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +5.917809108611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +5.919284656984e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
