        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.475248291935e+14,        +2.368874421552e+14
 2.00e+00,        +2.368874421552e+14,        +2.474704147126e+14
