        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.298321052107e+14,        +2.212296844071e+14
 2.00e+00,        +2.212296844071e+14,        +2.298074844289e+14
