        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +2.308652752380e+14,        +2.218438775541e+14
 2.00e+00,        +2.218438775541e+14,        +2.308330878459e+14
