        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.881655970001e+14,        +3.656697326656e+14
 2.00e+00,        +3.656697326656e+14,        +3.880441160221e+14
