        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.220261842077e+14,        +3.079307515357e+14
 2.00e+00,        +3.079307515357e+14,        +3.219287938571e+14
