        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +3.211006311956e+14,        +3.056161106913e+14
 2.00e+00,        +3.056161106913e+14,        +3.210388819721e+14
